Sask River CMSd,Churchill River CMSd,Red River CMSd,Winnipeg River CMSd,GUNISAO RIVER CMSd,Lower Nelson Tribs CMSd,Load GWh,Month,Day
449,769,78.8,1040,4.13,23.9,6.3,3,10
450,768,109,979,4.37,23.8,6.3,3,11
439,768,152,971,4.24,23.6,9,3,12
425,770,205,926,4.2,23.6,9.1,3,13
402,771,238,921,4.19,23.5,0,3,14
395,772,250,921,4.12,23.5,0,3,15
396,771,253,917,4.06,23.6,0,3,16
395,770,266,920,3.86,23.6,0,3,17
397,769,271,958,3.81,23.6,0,3,18
407,768,269,1080,3.81,23.6,0,3,19
426,766,263,1020,3.75,23.3,7.9,3,20
443,767,253,947,3.72,23.2,8.1,3,21
457,765,242,1000,3.85,23.2,8.2,3,22
466,764,242,963,3.96,23.2,8.2,3,23
454,768,227,951,3.86,23.2,8,3,24
439,767,224,1000,3.75,23.1,7.7,3,25
432,765,231,1010,3.74,23.1,7.9,3,26
445,765,291,989,3.82,23,7.9,3,27
452,764,366,1020,3.89,23,7.9,3,28
454,769,449,993,3.93,23,7.9,3,29
454,768,639,1030,3.86,23,7.7,3,30
457,765,795,1080,3.79,23,7.6,3,31
467,765,910,1140,3.76,23,7.6,4,1
479,764,960,1020,3.79,23,7.7,4,2
487,763,1030,1000,3.75,22.9,8,4,3
503,763,1060,1080,3.67,22.6,8.2,4,4
522,764,1140,1200,3.63,22.7,7.9,4,5
535,765,1230,1050,3.77,22.7,8,4,6
528,763,1310,1000,3.76,22.7,8.1,4,7
527,762,1350,1110,3.69,22.6,8.3,4,8
539,761,1350,1030,3.62,22.6,8,4,9
558,759,1310,1070,3.51,22.3,8,4,10
575,761,1140,1060,3.54,22,8.1,4,11
584,759,953,1150,3.47,22,8,4,12
585,758,804,1090,3.5,22.1,8.2,4,13
570,755,697,1000,3.45,22.1,8.3,4,14
554,755,627,1070,3.47,22,8.1,4,15
556,755,577,1080,3.64,22.1,8.1,4,16
578,754,548,1130,4.07,22.2,7.9,4,17
613,752,522,1120,4.78,22.3,8,4,18
632,752,521,1140,5.57,22.3,8,4,19
614,750,550,1190,6.44,22.2,8,4,20
585,750,615,1320,7.67,22,7.9,4,21
575,750,594,1350,8.74,22,7.9,4,22
586,749,584,1340,9.36,22,8,4,23
602,748,582,1290,9.7,22,8.2,4,24
614,747,562,1300,10.3,22,8.1,4,25
627,747,545,1330,11.6,22.1,13,4,26
618,749,547,1280,14.4,22.1,7.4,4,27
609,751,547,1260,19.3,22.5,7.6,4,28
599,753,532,1270,24.6,22.7,7.3,4,29
589,754,512,1350,28,22.8,7.2,4,30
580,764,493,1470,30.9,22.9,7.3,5,1
570,769,480,1420,34.7,23.5,7.4,5,2
560,773,498,1300,37.3,23.9,7.1,5,3
550,777,493,1320,38.8,24.3,7.3,5,4
540,784,474,1310,42,25,7.4,5,5
531,795,449,1330,43,25.7,7.3,5,6
535,808,424,1320,43.3,26.3,7.3,5,7
528,823,404,1310,43.2,27,7.1,5,8
533,836,386,1320,43.7,27.4,10.2,5,9
530,854,369,1330,49.3,29.3,9.4,5,10
494,866,356,1370,56.8,30.4,9.5,5,11
463,878,335,1420,60.6,31.5,9.4,5,12
472,889,316,1350,62.2,32.5,9.4,5,13
